mode	error	time/s	<Ewe/V>	
3	0	1.686499957395426E+003	-2.0215304E+000
3	0	1.686999957382795E+003	-2.0254121E+000
3	0	1.687499957370164E+003	-2.0051656E+000
3	0	1.687999957357533E+003	-2.0168974E+000
3	0	1.688499957344902E+003	-2.0223582E+000
3	0	1.688999957332271E+003	-2.0191514E+000
3	0	1.689499957319640E+003	-2.0265398E+000
3	0	1.689999957307009E+003	-2.0282001E+000
3	0	1.690499957294378E+003	-2.0330501E+000
3	0	1.690999957281747E+003	-2.0338078E+000
3	0	1.691499957269116E+003	-2.0219660E+000
3	0	1.691999957256485E+003	-2.0205519E+000
3	0	1.692499957243854E+003	-2.0278182E+000
3	0	1.692999957231223E+003	-2.0174732E+000
3	0	1.693499957218592E+003	-2.0075417E+000
3	0	1.693999957205961E+003	-1.9981861E+000
3	0	1.694499957193329E+003	-1.9977263E+000
3	0	1.694999957180698E+003	-2.0024068E+000
3	0	1.695499957168067E+003	-1.9916848E+000
3	0	1.695999957155436E+003	-1.9873695E+000
3	0	1.696499957142805E+003	-1.9810678E+000
3	0	1.696999957130174E+003	-1.9836520E+000
3	0	1.697499957117543E+003	-1.9828382E+000
3	0	1.697999957104912E+003	-1.9798125E+000
