mode	error	time/s	<Ewe/V>	
3	0	1.749999955791282E+002	-1.9661560E+000
3	0	1.754999955664971E+002	-1.9659846E+000
3	0	1.759999955538660E+002	-1.9768260E+000
3	0	1.764999955412350E+002	-1.9719642E+000
3	0	1.769999955286039E+002	-1.9712311E+000
3	0	1.774999955159728E+002	-1.9722072E+000
3	0	1.779999955033418E+002	-1.9722160E+000
3	0	1.784999954907107E+002	-1.9755787E+000
3	0	1.789999954780797E+002	-1.9740314E+000
3	0	1.794999954654486E+002	-1.9638342E+000
3	0	1.799999954528175E+002	-1.9542748E+000
3	0	1.804999954401865E+002	-1.9425688E+000
3	0	1.809999954275554E+002	-1.9372243E+000
3	0	1.814999954149243E+002	-1.9328496E+000
3	0	1.819999954022933E+002	-1.9306756E+000
3	0	1.824999953896622E+002	-1.9283434E+000
3	0	1.829999953770312E+002	-1.9277570E+000
3	0	1.834999953644001E+002	-1.9292436E+000
3	0	1.839999953517690E+002	-1.9329761E+000
3	0	1.844999953391380E+002	-1.9312453E+000
3	0	1.849999953265069E+002	-1.9269778E+000
3	0	1.854999953138758E+002	-1.9547064E+000
3	0	1.859999953012448E+002	-1.9464406E+000
3	0	1.864999952886137E+002	-1.9333811E+000
3	0	1.869999952759827E+002	-1.9308599E+000
3	0	1.874999952633516E+002	-1.9288113E+000
3	0	1.879999952507205E+002	-1.9211720E+000
3	0	1.884999952380895E+002	-1.9187485E+000
3	0	1.889999952254584E+002	-1.9230058E+000
3	0	1.894999952128273E+002	-1.9252850E+000
3	0	1.899999952001963E+002	-1.9168584E+000
3	0	1.904999951875652E+002	-1.9076074E+000
3	0	1.909999951749342E+002	-1.9085207E+000
3	0	1.914999951623031E+002	-1.9280953E+000
3	0	1.919999951496720E+002	-1.9214929E+000
3	0	1.924999951370410E+002	-1.9095232E+000
3	0	1.929999951244099E+002	-1.9013687E+000
3	0	1.934999951117788E+002	-1.8950881E+000
3	0	1.939999950991478E+002	-1.8951896E+000
3	0	1.944999950865167E+002	-1.8992426E+000
3	0	1.949999950738857E+002	-1.9026173E+000
3	0	1.954999950612546E+002	-1.9031205E+000
