mode	ox/red	error	control changes	time/s	control/V	Ewe/V	<I>/mA	(Q-Qo)/C	I Range	P/W	
2	1	0	1	4.405589920464990E+002	-9.9198431E-001	-9.9222505E-001	1.356395179843908E+002	-4.8400471E-001	37	-1.3458493E-001
2	1	0	1	4.405923920456553E+002	-9.8864394E-001	-9.8873442E-001	1.348018375815293E+002	-4.7949225E-001	37	-1.3328321E-001
2	1	0	1	4.406257920448115E+002	-9.8530358E-001	-9.8542142E-001	1.496040790778619E+002	-4.7472182E-001	37	-1.4742306E-001
2	1	0	1	4.406590920439703E+002	-9.8197645E-001	-9.8192322E-001	1.602805686428583E+002	-4.6954146E-001	37	-1.5738322E-001
2	1	0	1	4.406923920431291E+002	-9.7864944E-001	-9.7929680E-001	1.681317080511867E+002	-4.6405706E-001	37	-1.6465084E-001
2	1	0	1	4.407257920422853E+002	-9.7530901E-001	-9.7486448E-001	1.752819028398724E+002	-4.5830688E-001	37	-1.7087610E-001
2	1	0	1	4.407591920414416E+002	-9.7196859E-001	-9.7207868E-001	1.824935633048306E+002	-4.5231745E-001	37	-1.7739810E-001
2	1	0	1	4.407923920406029E+002	-9.6864831E-001	-9.6792591E-001	1.898227862813742E+002	-4.4612253E-001	37	-1.8373439E-001
2	1	0	1	4.408257920397591E+002	-9.6530783E-001	-9.6547347E-001	1.974903772661432E+002	-4.3963957E-001	37	-1.9067173E-001
2	1	0	1	4.408591920389154E+002	-9.6196741E-001	-9.6224266E-001	2.050737438671687E+002	-4.3290272E-001	37	-1.9733070E-001
2	1	0	1	4.408923920380767E+002	-9.5864707E-001	-9.6005309E-001	2.126232752927146E+002	-4.2595449E-001	37	-2.0412964E-001
2	1	0	1	4.409257920372329E+002	-9.5530659E-001	-9.5495951E-001	2.202146260141435E+002	-4.1871065E-001	37	-2.1029605E-001
2	1	0	1	4.409591920363891E+002	-9.5196623E-001	-9.5083457E-001	2.277511045943365E+002	-4.1121501E-001	37	-2.1655363E-001
2	1	0	1	4.409773920359294E+002	-9.5013905E-001	-9.5069528E-001	2.315971736907959E+002	-4.0705058E-001	37	-2.2017834E-001
